name,category
dog.7770.jpg,1
dog.3314.jpg,1
dog.852.jpg,1
dog.582.jpg,1
dog.777.jpg,1
cat.11798.jpg,0
dog.6170.jpg,1
cat.4154.jpg,0
cat.5577.jpg,0
cat.4923.jpg,0
cat.3028.jpg,0
cat.10152.jpg,0
cat.7512.jpg,0
cat.4492.jpg,0
cat.12356.jpg,0
cat.9789.jpg,0
cat.3716.jpg,0
cat.9219.jpg,0
dog.6497.jpg,1
dog.10014.jpg,1
cat.11224.jpg,0
dog.5861.jpg,1
dog.5877.jpg,1
cat.8966.jpg,0
cat.11703.jpg,0
cat.679.jpg,0
cat.10231.jpg,0
cat.3173.jpg,0
cat.9070.jpg,0
cat.9641.jpg,0
dog.3853.jpg,1
cat.1819.jpg,0
dog.2555.jpg,1
dog.3960.jpg,1
dog.7984.jpg,1
dog.5316.jpg,1
cat.1899.jpg,0
dog.12234.jpg,1
dog.1830.jpg,1
dog.5879.jpg,1
cat.2462.jpg,0
dog.6603.jpg,1
dog.8130.jpg,1
dog.11021.jpg,1
dog.2382.jpg,1
dog.7010.jpg,1
cat.7424.jpg,0
cat.9288.jpg,0
cat.9868.jpg,0
cat.11381.jpg,0
dog.9412.jpg,1
dog.8752.jpg,1
cat.676.jpg,0
dog.1743.jpg,1
dog.8808.jpg,1
dog.11851.jpg,1
dog.3221.jpg,1
dog.11396.jpg,1
cat.1604.jpg,0
cat.7581.jpg,0
dog.5643.jpg,1
dog.7599.jpg,1
dog.124.jpg,1
cat.817.jpg,0
cat.1025.jpg,0
cat.10392.jpg,0
dog.832.jpg,1
cat.7410.jpg,0
cat.7762.jpg,0
dog.3025.jpg,1
dog.3177.jpg,1
dog.4237.jpg,1
dog.2527.jpg,1
dog.5684.jpg,1
cat.166.jpg,0
dog.7370.jpg,1
cat.5645.jpg,0
dog.607.jpg,1
dog.12214.jpg,1
cat.6958.jpg,0
cat.7759.jpg,0
dog.7340.jpg,1
cat.8375.jpg,0
dog.5646.jpg,1
cat.8248.jpg,0
dog.12380.jpg,1
cat.1504.jpg,0
dog.6676.jpg,1
cat.2314.jpg,0
dog.3602.jpg,1
cat.5346.jpg,0
dog.11638.jpg,1
cat.4694.jpg,0
dog.5700.jpg,1
cat.9274.jpg,0
cat.3669.jpg,0
cat.4985.jpg,0
dog.6162.jpg,1
dog.5039.jpg,1
dog.777.jpg,1
cat.5828.jpg,0
dog.301.jpg,1
cat.6702.jpg,0
dog.11025.jpg,1
cat.5336.jpg,0
cat.6042.jpg,0
cat.10315.jpg,0
cat.8537.jpg,0
cat.955.jpg,0
dog.7363.jpg,1
dog.7781.jpg,1
cat.3995.jpg,0
cat.11373.jpg,0
dog.5205.jpg,1
cat.1879.jpg,0
cat.4959.jpg,0
cat.5548.jpg,0
dog.7240.jpg,1
dog.1682.jpg,1
dog.6365.jpg,1
cat.12018.jpg,0
dog.197.jpg,1
cat.3366.jpg,0
cat.10591.jpg,0
cat.9891.jpg,0
dog.2797.jpg,1
cat.12243.jpg,0
cat.4286.jpg,0
dog.422.jpg,1
cat.9316.jpg,0
dog.4044.jpg,1
cat.7523.jpg,0
dog.341.jpg,1
cat.100.jpg,0
dog.1544.jpg,1
dog.1682.jpg,1
dog.5202.jpg,1
dog.315.jpg,1
dog.11691.jpg,1
dog.1968.jpg,1
cat.10916.jpg,0
cat.86.jpg,0
cat.441.jpg,0
cat.12141.jpg,0
cat.1056.jpg,0
cat.5182.jpg,0
dog.3288.jpg,1
dog.6004.jpg,1
dog.2162.jpg,1
dog.8548.jpg,1
dog.11773.jpg,1
cat.11424.jpg,0
cat.161.jpg,0
cat.3388.jpg,0
dog.11389.jpg,1
dog.5869.jpg,1
dog.2859.jpg,1
cat.678.jpg,0
dog.8338.jpg,1
cat.1473.jpg,0
cat.9506.jpg,0
dog.1965.jpg,1
cat.8544.jpg,0
dog.5890.jpg,1
dog.5505.jpg,1
cat.1113.jpg,0
dog.5279.jpg,1
cat.1925.jpg,0
dog.8559.jpg,1
cat.2269.jpg,0
dog.11427.jpg,1
dog.11458.jpg,1
cat.6899.jpg,0
dog.5669.jpg,1
dog.6999.jpg,1
cat.7145.jpg,0
dog.7614.jpg,1
cat.4974.jpg,0
cat.5656.jpg,0
dog.6051.jpg,1
cat.1910.jpg,0
dog.410.jpg,1
cat.10098.jpg,0
cat.1400.jpg,0
cat.8653.jpg,0
dog.9956.jpg,1
dog.3370.jpg,1
cat.3647.jpg,0
dog.10009.jpg,1
dog.4187.jpg,1
dog.4045.jpg,1
cat.7097.jpg,0
cat.5398.jpg,0
cat.141.jpg,0
dog.992.jpg,1
dog.1147.jpg,1
dog.10493.jpg,1
dog.4799.jpg,1
dog.1481.jpg,1
cat.8207.jpg,0
cat.6142.jpg,0
dog.5097.jpg,1
cat.3514.jpg,0
dog.7815.jpg,1
dog.294.jpg,1
cat.6540.jpg,0
dog.8854.jpg,1
dog.1612.jpg,1
cat.2226.jpg,0
cat.11167.jpg,0
dog.494.jpg,1
dog.10216.jpg,1
dog.4418.jpg,1
cat.8264.jpg,0
cat.2653.jpg,0
cat.9342.jpg,0
dog.1744.jpg,1
dog.4628.jpg,1
cat.8094.jpg,0
dog.11499.jpg,1
cat.9517.jpg,0
cat.8102.jpg,0
cat.6457.jpg,0
cat.11738.jpg,0
cat.8567.jpg,0
dog.1990.jpg,1
dog.6993.jpg,1
dog.11205.jpg,1
dog.6748.jpg,1
cat.8878.jpg,0
dog.4219.jpg,1
cat.3740.jpg,0
dog.7491.jpg,1
